Date,Centre_Name,Commodity_Name,Price
27-01-09,SHIMLA,Gram Dal,NA
27-01-09,SRINAGAR,Gram Dal,NA
27-01-09,JAMMU,Gram Dal,NA
27-01-09,AMRITSAR,Gram Dal,2500
27-01-09,LUDHIANA,Gram Dal,3000
27-01-09,LUCKNOW,Gram Dal,NA
27-01-09,DEHRADUN,Gram Dal,NA
27-01-09,RAIPUR,Gram Dal,NA
27-01-09,AHMEDABAD,Gram Dal,NA
27-01-09,BHOPAL,Gram Dal,NA
27-01-09,MUMBAI,Gram Dal,NA
27-01-09,JAIPUR,Gram Dal,NA
27-01-09,PATNA,Gram Dal,NA
27-01-09,RANCHI,Gram Dal,NA
27-01-09,BHUBANESHWAR,Gram Dal,3000
27-01-09,KOLKATA,Gram Dal,NA
27-01-09,GUWAHATI,Gram Dal,NA
27-01-09,SHILLONG,Gram Dal,NA
27-01-09,AIZWAL,Gram Dal,NA
27-01-09,KOHIMA,Gram Dal,NA
27-01-09,AGARTALA,Gram Dal,NA
27-01-09,BENGALURU,Gram Dal,2700
27-01-09,T.PURAM,Gram Dal,NA
27-01-09,CHENNAI,Gram Dal,NA
27-01-09,HYDERABAD,Gram Dal,NA
28-01-09,CHANDIGARH,Gram Dal,NA
28-01-09,DELHI,Gram Dal,3100
28-01-09,SHIMLA,Gram Dal,NA
28-01-09,SRINAGAR,Gram Dal,NA
28-01-09,JAMMU,Gram Dal,NA
28-01-09,AMRITSAR,Gram Dal,2500
28-01-09,LUDHIANA,Gram Dal,3000
28-01-09,LUCKNOW,Gram Dal,NA
28-01-09,DEHRADUN,Gram Dal,NA
28-01-09,RAIPUR,Gram Dal,NA
28-01-09,AHMEDABAD,Gram Dal,NA
28-01-09,BHOPAL,Gram Dal,2600
28-01-09,MUMBAI,Gram Dal,NA
28-01-09,JAIPUR,Gram Dal,2700
28-01-09,PATNA,Gram Dal,NA
28-01-09,RANCHI,Gram Dal,NA
28-01-09,BHUBANESHWAR,Gram Dal,3000
28-01-09,KOLKATA,Gram Dal,NA
28-01-09,GUWAHATI,Gram Dal,NA
28-01-09,SHILLONG,Gram Dal,NA
28-01-09,AIZWAL,Gram Dal,NA
28-01-09,KOHIMA,Gram Dal,NA
28-01-09,AGARTALA,Gram Dal,NA
28-01-09,BENGALURU,Gram Dal,2700
28-01-09,T.PURAM,Gram Dal,NA
28-01-09,CHENNAI,Gram Dal,NA
28-01-09,HYDERABAD,Gram Dal,NA
29-01-09,CHANDIGARH,Gram Dal,NA
29-01-09,DELHI,Gram Dal,3100
29-01-09,SHIMLA,Gram Dal,NA
29-01-09,SRINAGAR,Gram Dal,NA
29-01-09,JAMMU,Gram Dal,NA
29-01-09,AMRITSAR,Gram Dal,2500
29-01-09,LUDHIANA,Gram Dal,3000
29-01-09,LUCKNOW,Gram Dal,NA
29-01-09,DEHRADUN,Gram Dal,NA
29-01-09,RAIPUR,Gram Dal,NA
29-01-09,AHMEDABAD,Gram Dal,NA
29-01-09,BHOPAL,Gram Dal,NA
29-01-09,MUMBAI,Gram Dal,NA
29-01-09,JAIPUR,Gram Dal,NA
29-01-09,PATNA,Gram Dal,NA
29-01-09,RANCHI,Gram Dal,NA
29-01-09,BHUBANESHWAR,Gram Dal,NA
29-01-09,KOLKATA,Gram Dal,NA
29-01-09,GUWAHATI,Gram Dal,NA
29-01-09,SHILLONG,Gram Dal,NA
29-01-09,AIZWAL,Gram Dal,NA
29-01-09,KOHIMA,Gram Dal,NA
29-01-09,AGARTALA,Gram Dal,NA
29-01-09,BENGALURU,Gram Dal,2800
29-01-09,T.PURAM,Gram Dal,NA
29-01-09,CHENNAI,Gram Dal,2900
29-01-09,HYDERABAD,Gram Dal,NA
30-01-09,CHANDIGARH,Gram Dal,NA
30-01-09,DELHI,Gram Dal,3100
30-01-09,SHIMLA,Gram Dal,NA
30-01-09,SRINAGAR,Gram Dal,NA
30-01-09,JAMMU,Gram Dal,NA
30-01-09,AMRITSAR,Gram Dal,NA
30-01-09,LUDHIANA,Gram Dal,NA
30-01-09,LUCKNOW,Gram Dal,NA
30-01-09,DEHRADUN,Gram Dal,NA
30-01-09,RAIPUR,Gram Dal,NA
30-01-09,AHMEDABAD,Gram Dal,NA
30-01-09,BHOPAL,Gram Dal,2600
30-01-09,MUMBAI,Gram Dal,NA
30-01-09,JAIPUR,Gram Dal,NA
30-01-09,PATNA,Gram Dal,NA
30-01-09,RANCHI,Gram Dal,NA
30-01-09,BHUBANESHWAR,Gram Dal,NA
30-01-09,KOLKATA,Gram Dal,NA
30-01-09,GUWAHATI,Gram Dal,NA
30-01-09,SHILLONG,Gram Dal,NA
30-01-09,AIZWAL,Gram Dal,NA
30-01-09,KOHIMA,Gram Dal,NA
30-01-09,AGARTALA,Gram Dal,NA
30-01-09,BENGALURU,Gram Dal,2800
30-01-09,T.PURAM,Gram Dal,NA
30-01-09,CHENNAI,Gram Dal,NA
30-01-09,HYDERABAD,Gram Dal,NA
02-02-09,CHANDIGARH,Gram Dal,NA
02-02-09,DELHI,Gram Dal,3050
02-02-09,SHIMLA,Gram Dal,NA
02-02-09,SRINAGAR,Gram Dal,NA
02-02-09,JAMMU,Gram Dal,NA
02-02-09,AMRITSAR,Gram Dal,2500
02-02-09,LUDHIANA,Gram Dal,3000
02-02-09,LUCKNOW,Gram Dal,3660
02-02-09,DEHRADUN,Gram Dal,NA
02-02-09,RAIPUR,Gram Dal,NA
02-02-09,AHMEDABAD,Gram Dal,NA
02-02-09,BHOPAL,Gram Dal,2600
02-02-09,MUMBAI,Gram Dal,NA
02-02-09,JAIPUR,Gram Dal,2700
02-02-09,PATNA,Gram Dal,NA
02-02-09,RANCHI,Gram Dal,NA
02-02-09,BHUBANESHWAR,Gram Dal,3000
02-02-09,KOLKATA,Gram Dal,NA
02-02-09,GUWAHATI,Gram Dal,NA
02-02-09,SHILLONG,Gram Dal,NA
02-02-09,AIZWAL,Gram Dal,NA
02-02-09,KOHIMA,Gram Dal,NA
02-02-09,AGARTALA,Gram Dal,NA
02-02-09,BENGALURU,Gram Dal,2800
02-02-09,T.PURAM,Gram Dal,NA
02-02-09,CHENNAI,Gram Dal,NA
02-02-09,HYDERABAD,Gram Dal,NA
03-02-09,CHANDIGARH,Gram Dal,NA
03-02-09,DELHI,Gram Dal,3050
03-02-09,SHIMLA,Gram Dal,NA
03-02-09,SRINAGAR,Gram Dal,NA
03-02-09,JAMMU,Gram Dal,NA
03-02-09,AMRITSAR,Gram Dal,2500
03-02-09,LUDHIANA,Gram Dal,3000
03-02-09,LUCKNOW,Gram Dal,3660
03-02-09,DEHRADUN,Gram Dal,NA
03-02-09,RAIPUR,Gram Dal,NA
03-02-09,AHMEDABAD,Gram Dal,NA
03-02-09,BHOPAL,Gram Dal,NA
03-02-09,MUMBAI,Gram Dal,NA
03-02-09,JAIPUR,Gram Dal,2700
03-02-09,PATNA,Gram Dal,NA
03-02-09,RANCHI,Gram Dal,NA
03-02-09,BHUBANESHWAR,Gram Dal,3000
03-02-09,KOLKATA,Gram Dal,NA
03-02-09,GUWAHATI,Gram Dal,NA
03-02-09,SHILLONG,Gram Dal,NA
03-02-09,AIZWAL,Gram Dal,NA
03-02-09,KOHIMA,Gram Dal,NA
03-02-09,AGARTALA,Gram Dal,NA
03-02-09,BENGALURU,Gram Dal,2800
03-02-09,T.PURAM,Gram Dal,NA
03-02-09,CHENNAI,Gram Dal,NA
03-02-09,HYDERABAD,Gram Dal,NA
04-02-09,CHANDIGARH,Gram Dal,NA
04-02-09,DELHI,Gram Dal,3050
