Date,"Index Value",High,Low,"Previous Close"
"09 Oct 15",-15.8,0,0,0
"10 Oct 15",-17.48,0,0,0
"11 Oct 15",-18.28,0,0,0
"12 Oct 15",-19.27,0,0,0
"13 Oct 15",-21.39,0,0,0
"14 Oct 15",-23.53,0,0,0
"15 Oct 15",-24.66,0,0,0
"16 Oct 15",-26.64,0,0,0
"17 Oct 15",-28.89,0,0,0
"18 Oct 15",-31.64,0,0,0
"19 Oct 15",-33.38,0,0,0
"20 Oct 15",-34.63,0,0,0
"21 Oct 15",-36.57,0,0,0
"22 Oct 15",-38.18,0,0,0
"23 Oct 15",-39.66,0,0,0
"24 Oct 15",-40.62,0,0,0
"25 Oct 15",-41.03,0,0,0
"26 Oct 15",-41,0,0,0
"27 Oct 15",-41.94,0,0,0
"28 Oct 15",-42.44,0,0,0
"29 Oct 15",-41.29,0,0,0
"30 Oct 15",-40.59,0,0,0
"31 Oct 15",-40.3,0,0,0
"01 Nov 15",0.37,0,0,0
"02 Nov 15",1.91,0,0,0
"03 Nov 15",1.69,0,0,0
"04 Nov 15",3.04,0,0,0
"05 Nov 15",5.45,0,0,0
"06 Nov 15",4.67,0,0,0
"07 Nov 15",4.66,0,0,0
"08 Nov 15",4.98,0,0,0
"09 Nov 15",5.96,0,0,0
"10 Nov 15",8.22,0,0,0
"11 Nov 15",8.7,0,0,0
"12 Nov 15",8.49,0,0,0
"13 Nov 15",9.64,0,0,0
"14 Nov 15",9.3,0,0,0
"15 Nov 15",8.77,0,0,0
"16 Nov 15",11.52,0,0,0
"17 Nov 15",13.2,0,0,0
"18 Nov 15",13.71,0,0,0
"19 Nov 15",14.28,0,0,0
"20 Nov 15",15.08,0,0,0
"21 Nov 15",15.72,0,0,0
"22 Nov 15",15.85,0,0,0
"23 Nov 15",17.42,0,0,0
"24 Nov 15",18.66,0,0,0
"25 Nov 15",18.23,0,0,0
"26 Nov 15",17.55,0,0,0
"27 Nov 15",17.06,0,0,0
"28 Nov 15",16.43,0,0,0
"29 Nov 15",16.01,0,0,0
"30 Nov 15",17.74,0,0,0
"01 Dec 15",1.23,0,0,0
"02 Dec 15",4.65,0,0,0
"03 Dec 15",5.87,0,0,0
"04 Dec 15",6.92,0,0,0
"05 Dec 15",7.18,0,0,0
"06 Dec 15",7.34,0,0,0
"07 Dec 15",7.39,0,0,0
"08 Dec 15",7.9,0,0,0
"09 Dec 15",7.48,0,0,0
"10 Dec 15",7,0,0,0
"11 Dec 15",8.49,0,0,0
"12 Dec 15",8.86,0,0,0
"13 Dec 15",8.48,0,0,0
"14 Dec 15",7.83,0,0,0
"15 Dec 15",7.74,0,0,0
"16 Dec 15",7.42,0,0,0
"17 Dec 15",7.06,0,0,0
"18 Dec 15",6.94,0,0,0
"19 Dec 15",7.3,0,0,0
"20 Dec 15",7.04,0,0,0
"21 Dec 15",6.68,0,0,0
"22 Dec 15",6.47,0,0,0
"23 Dec 15",6.03,0,0,0
"24 Dec 15",5.75,0,0,0
"25 Dec 15",5.19,0,0,0
"26 Dec 15",4.69,0,0,0
"27 Dec 15",4.14,0,0,0
"28 Dec 15",3.87,0,0,0
"29 Dec 15",3.47,0,0,0
"30 Dec 15",2.84,0,0,0
"31 Dec 15",2.31,0,0,0
"01 Jan 16",-0.66,0,0,0
"02 Jan 16",-1.11,0,0,0
"03 Jan 16",-1.67,0,0,0
"04 Jan 16",-1.64,0,0,0
"05 Jan 16",-0.9,0,0,0
"06 Jan 16",-1.49,0,0,0
"07 Jan 16",-2.16,0,0,0
"08 Jan 16",-2.69,0,0,0
"09 Jan 16",-2.57,0,0,0
"10 Jan 16",-2.45,0,0,0
"11 Jan 16",-3,0,0,0
"12 Jan 16",-3.74,0,0,0
"13 Jan 16",-4.54,0,0,0
"14 Jan 16",-5.15,0,0,0
"15 Jan 16",-6.07,0,0,0
"16 Jan 16",-7.17,0,0,0
"17 Jan 16",-7.86,0,0,0
"18 Jan 16",-8.4,0,0,0
"19 Jan 16",-7.79,0,0,0
"20 Jan 16",-6.35,0,0,0
"21 Jan 16",-5.91,0,0,0
"22 Jan 16",-6.59,0,0,0
"23 Jan 16",-6.89,0,0,0
"24 Jan 16",-7.35,0,0,0
"25 Jan 16",-7.59,0,0,0
"26 Jan 16",-7.85,0,0,0
"27 Jan 16",-8.2,0,0,0
"28 Jan 16",-8.9,0,0,0
"29 Jan 16",-9.27,0,0,0
"30 Jan 16",-9.18,0,0,0
"31 Jan 16",-9.71,0,0,0
"01 Feb 16",-0.53,0,0,0
"02 Feb 16",-1.03,0,0,0
"03 Feb 16",-1.47,0,0,0
"04 Feb 16",-2.09,0,0,0
"05 Feb 16",-2.8,0,0,0
"06 Feb 16",-3.59,0,0,0
"07 Feb 16",-4.11,0,0,0
"08 Feb 16",-4.31,0,0,0
"09 Feb 16",-4.55,0,0,0
"10 Feb 16",-5.38,0,0,0
"11 Feb 16",-5.61,0,0,0
"12 Feb 16",-5.99,0,0,0
"13 Feb 16",-6.75,0,0,0
"14 Feb 16",-7.83,0,0,0
"15 Feb 16",-9.19,0,0,0
"16 Feb 16",-10.39,0,0,0
"17 Feb 16",-11.3,0,0,0
"18 Feb 16",-12.24,0,0,0
"19 Feb 16",-13.31,0,0,0
"20 Feb 16",-12.08,0,0,0
"21 Feb 16",-12.08,0,0,0
"22 Feb 16",-12.23,0,0,0
"23 Feb 16",-12.79,0,0,0
"24 Feb 16",-13.32,0,0,0
"25 Feb 16",-13.85,0,0,0
"26 Feb 16",-14.92,0,0,0
"27 Feb 16",-15.29,0,0,0
"28 Feb 16",-16.15,0,0,0
"29 Feb 16",-16.31,0,0,0
"01 Mar 16",-0.42,0,0,0
"02 Mar 16",-1.51,0,0,0
"03 Mar 16",-1.96,0,0,0
"04 Mar 16",-2.28,0,0,0
"05 Mar 16",-2.64,0,0,0
"06 Mar 16",-1.84,0,0,0
"07 Mar 16",-1.3,0,0,0
"08 Mar 16",-0.85,0,0,0
"09 Mar 16",-0.73,0,0,0
"10 Mar 16",-1.06,0,0,0
"11 Mar 16",-2.2,0,0,0
"12 Mar 16",-1.23,0,0,0
"13 Mar 16",0.05,0,0,0
"14 Mar 16",0.72,0,0,0
"15 Mar 16",1.06,0,0,0
"16 Mar 16",1.16,0,0,0
"17 Mar 16",1.25,0,0,0
"18 Mar 16",2.2,0,0,0
"19 Mar 16",2.69,0,0,0
"20 Mar 16",2.61,0,0,0
"21 Mar 16",2.9,0,0,0
"22 Mar 16",2.75,0,0,0
"23 Mar 16",1.86,0,0,0
"24 Mar 16",0.62,0,0,0
"25 Mar 16",-0.34,0,0,0
"26 Mar 16",-0.53,0,0,0
"27 Mar 16",-1.61,0,0,0
"28 Mar 16",-0.55,0,0,0
"29 Mar 16",0.38,0,0,0
"30 Mar 16",-0.46,0,0,0
"31 Mar 16",-0.11,0,0,0
"01 Apr 16",1.17,0,0,0
"02 Apr 16",0.84,0,0,0
"03 Apr 16",0.19,0,0,0
"04 Apr 16",0.6,0,0,0
"05 Apr 16",0.38,0,0,0
"06 Apr 16",1.93,0,0,0
"07 Apr 16",2.81,0,0,0
"08 Apr 16",3.57,0,0,0
"09 Apr 16",3.72,0,0,0
"10 Apr 16",2.8,0,0,0
"11 Apr 16",2.32,0,0,0
"12 Apr 16",2.74,0,0,0
"13 Apr 16",2.35,0,0,0
"14 Apr 16",2.24,0,0,0
"15 Apr 16",2.12,0,0,0
"16 Apr 16",2.39,0,0,0
"17 Apr 16",2.55,0,0,0
"18 Apr 16",3.44,0,0,0
"19 Apr 16",3.89,0,0,0
"20 Apr 16",3.62,0,0,0
"21 Apr 16",5.95,0,0,0
"22 Apr 16",8.47,0,0,0
"23 Apr 16",8.98,0,0,0
"24 Apr 16",10.17,0,0,0
"25 Apr 16",9.51,0,0,0
"26 Apr 16",8.46,0,0,0
"27 Apr 16",7.45,0,0,0
"28 Apr 16",6.33,0,0,0
"29 Apr 16",5.5,0,0,0
"30 Apr 16",4.39,0,0,0
"01 May 16",-0.85,0,0,0
"02 May 16",-2.01,0,0,0
"03 May 16",-3.5,0,0,0
"04 May 16",-3.78,0,0,0
"05 May 16",-3.43,0,0,0
"06 May 16",-2.9,0,0,0
"07 May 16",-2.83,0,0,0
"08 May 16",-3.42,0,0,0
"09 May 16",-4.67,0,0,0
"10 May 16",-5.77,0,0,0
"11 May 16",-6.19,0,0,0
"12 May 16",-7.59,0,0,0
"13 May 16",-7.86,0,0,0
"14 May 16",-7.81,0,0,0
"15 May 16",-6.48,0,0,0
"16 May 16",-4.96,0,0,0
"17 May 16",-1.06,0,0,0
"18 May 16",4.23,0,0,0
"19 May 16",6.81,0,0,0
"20 May 16",8.65,0,0,0
"21 May 16",10.15,0,0,0
"22 May 16",12.01,0,0,0
"23 May 16",10.58,0,0,0
"24 May 16",10.64,0,0,0
"25 May 16",10.06,0,0,0
"26 May 16",9.36,0,0,0
"27 May 16",8.55,0,0,0
"28 May 16",7.81,0,0,0
"29 May 16",8.97,0,0,0
"30 May 16",8.97,0,0,0
"31 May 16",8.58,0,0,0
"01 Jun 16",-0.48,0,0,0
"02 Jun 16",-0.58,0,0,0
"03 Jun 16",-2.42,0,0,0
"04 Jun 16",-3.15,0,0,0
"05 Jun 16",-4.39,0,0,0
"06 Jun 16",-5.92,0,0,0
"07 Jun 16",-6.87,0,0,0
"08 Jun 16",-6.02,0,0,0
"09 Jun 16",-5.73,0,0,0
"10 Jun 16",-7.53,0,0,0
"11 Jun 16",-9.52,0,0,0
"12 Jun 16",-11.38,0,0,0
"13 Jun 16",-12.45,0,0,0
"14 Jun 16",-14.79,0,0,0
"15 Jun 16",-19.96,0,0,0
"16 Jun 16",-21.78,0,0,0
"17 Jun 16",-25.38,0,0,0
"18 Jun 16",-26.39,0,0,0
"19 Jun 16",-27.13,0,0,0
"20 Jun 16",-27.57,0,0,0
"21 Jun 16",-24.77,0,0,0
"22 Jun 16",-20.7,0,0,0
"23 Jun 16",-18.42,0,0,0
"24 Jun 16",-17.21,0,0,0
"25 Jun 16",-17.42,0,0,0
"26 Jun 16",-15.78,0,0,0
"27 Jun 16",-15.26,0,0,0
"28 Jun 16",-9.81,0,0,0
"29 Jun 16",-7.53,0,0,0
"30 Jun 16",-8.94,0,0,0
"01 Jul 16",-0.18,0,0,0
"02 Jul 16",5.33,0,0,0
"03 Jul 16",12.21,0,0,0
"04 Jul 16",19.57,0,0,0
"05 Jul 16",23.85,0,0,0
"06 Jul 16",28.71,0,0,0
"07 Jul 16",26.86,0,0,0
"08 Jul 16",23.38,0,0,0
"09 Jul 16",24.83,0,0,0
"10 Jul 16",25.85,0,0,0
"11 Jul 16",27.68,0,0,0
"12 Jul 16",28.68,0,0,0
"13 Jul 16",28.6,0,0,0
"14 Jul 16",24.93,0,0,0
"15 Jul 16",23.13,0,0,0
"16 Jul 16",24.85,0,0,0
"17 Jul 16",30.29,0,0,0
"18 Jul 16",32.57,0,0,0
"19 Jul 16",32.11,0,0,0
"20 Jul 16",28.7,0,0,0
"21 Jul 16",25.67,0,0,0
"22 Jul 16",25.75,0,0,0
"23 Jul 16",29.95,0,0,0
"24 Jul 16",31.2,0,0,0
"25 Jul 16",32.82,0,0,0
"26 Jul 16",34.28,0,0,0
"27 Jul 16",36.97,0,0,0
"28 Jul 16",35.48,0,0,0
"29 Jul 16",34.29,0,0,0
"30 Jul 16",34.84,0,0,0
"31 Jul 16",37.57,0,0,0
"01 Aug 16",2.35,0,0,0
"02 Aug 16",6.15,0,0,0
"03 Aug 16",6.21,0,0,0
"04 Aug 16",7.64,0,0,0
"05 Aug 16",7.64,0,0,0
"06 Aug 16",11.11,0,0,0
"07 Aug 16",14.56,0,0,0
"08 Aug 16",15.69,0,0,0
"09 Aug 16",15.53,0,0,0
"10 Aug 16",16.28,0,0,0
"11 Aug 16",13.71,0,0,0
"12 Aug 16",12.41,0,0,0
"13 Aug 16",8.32,0,0,0
"14 Aug 16",3.89,0,0,0
"15 Aug 16",-0.97,0,0,0
"16 Aug 16",-4.14,0,0,0
"17 Aug 16",-5.83,0,0,0
"18 Aug 16",-7.64,0,0,0
"19 Aug 16",-9.93,0,0,0
"20 Aug 16",-12.86,0,0,0
"21 Aug 16",-15.66,0,0,0
"22 Aug 16",-17.99,0,0,0
"23 Aug 16",-21.94,0,0,0
"24 Aug 16",-24.75,0,0,0
"25 Aug 16",-28.58,0,0,0
"26 Aug 16",-31.39,0,0,0
"27 Aug 16",-32.09,0,0,0
"28 Aug 16",-32.49,0,0,0
"29 Aug 16",-33.06,0,0,0
"30 Aug 16",-34.61,0,0,0
"31 Aug 16",-32.59,0,0,0
"01 Sep 16",6.07,0,0,0
"02 Sep 16",8.13,0,0,0
"03 Sep 16",5.55,0,0,0
"04 Sep 16",2.41,0,0,0
"05 Sep 16",0.54,0,0,0
"06 Sep 16",-2.58,0,0,0
"07 Sep 16",-7.19,0,0,0
"08 Sep 16",-10.5,0,0,0
"09 Sep 16",-14.17,0,0,0
"10 Sep 16",-17.06,0,0,0
"11 Sep 16",-18.64,0,0,0
"12 Sep 16",-20.35,0,0,0
"13 Sep 16",-20.08,0,0,0
"14 Sep 16",-20.06,0,0,0
"15 Sep 16",-21.5,0,0,0
"16 Sep 16",-19.97,0,0,0
"17 Sep 16",-18.75,0,0,0
"18 Sep 16",-19.21,0,0,0
"19 Sep 16",-18.18,0,0,0
"20 Sep 16",-20.06,0,0,0
"21 Sep 16",-14.16,0,0,0
"22 Sep 16",-8.75,0,0,0
"23 Sep 16",-7.35,0,0,0
"24 Sep 16",-2.99,0,0,0
"25 Sep 16",0.03,0,0,0
"26 Sep 16",0.73,0,0,0
"27 Sep 16",0.01,0,0,0
"28 Sep 16",-0.09,0,0,0
"29 Sep 16",0.64,0,0,0
"30 Sep 16",0.17,0,0,0
"01 Oct 16",0.67,0,0,0
"02 Oct 16",-0.52,0,0,0
"03 Oct 16",-2.94,0,0,0
"04 Oct 16",-4.62,0,0,0
"05 Oct 16",-5.26,0,0,0
"06 Oct 16",-5.22,0,0,0
"07 Oct 16",-4.83,0,0,0
"08 Oct 16",-3.51,0,0,0
"09 Oct 16",1.39,0,0,0
"10 Oct 16",3.82,0,0,0
"11 Oct 16",4.71,0,0,0
"12 Oct 16",5.26,0,0,0
"13 Oct 16",5.59,0,0,0
"14 Oct 16",3.92,0,0,0
"15 Oct 16",1.41,0,0,0
"16 Oct 16",-0.89,0,0,0
"17 Oct 16",-3.02,0,0,0
"18 Oct 16",-5.87,0,0,0
"19 Oct 16",-9.04,0,0,0
"20 Oct 16",-11.59,0,0,0
"21 Oct 16",-13.78,0,0,0
"22 Oct 16",-15.23,0,0,0
"23 Oct 16",-17.1,0,0,0
"24 Oct 16",-18.61,0,0,0
"25 Oct 16",-20.47,0,0,0
"26 Oct 16",-21.61,0,0,0
"27 Oct 16",-22.48,0,0,0
"28 Oct 16",-23.37,0,0,0
"29 Oct 16",-25.01,0,0,0
"30 Oct 16",-26.34,0,0,0
"31 Oct 16",-27.04,0,0,0
"01 Nov 16",-1.16,0,0,0
"02 Nov 16",-2.09,0,0,0
"03 Nov 16",-2.91,0,0,0
"04 Nov 16",-3.06,0,0,0
"05 Nov 16",-3.21,0,0,0
"06 Nov 16",-2.64,0,0,0
"07 Nov 16",-3.22,0,0,0
"08 Nov 16",-4.25,0,0,0
"09 Nov 16",-5.07,0,0,0
"10 Nov 16",-6.45,0,0,0
"11 Nov 16",-7.54,0,0,0
"12 Nov 16",-8.44,0,0,0
"13 Nov 16",-9.5,0,0,0
"14 Nov 16",-10.15,0,0,0
"15 Nov 16",-10.86,0,0,0
"16 Nov 16",-12.22,0,0,0
"17 Nov 16",-13.33,0,0,0
"18 Nov 16",-14.33,0,0,0
"19 Nov 16",-15.28,0,0,0
"20 Nov 16",-15.99,0,0,0
"21 Nov 16",-16.7,0,0,0
"22 Nov 16",-17.41,0,0,0
"23 Nov 16",-18.33,0,0,0
